Zeit (s) Messreihe #7	Spannung, Ch A (V) Messreihe #7	Spannung, Ch B (V) Messreihe #7
0,000	-0,002	0,083
0,050	-0,004	0,082
0,100	-0,006	0,081
0,150	-0,007	0,081
0,200	-0,009	0,080
0,250	-0,011	0,079
0,300	-0,013	0,078
0,350	-0,014	0,078
0,400	-0,015	0,077
0,450	-0,017	0,076
0,500	-0,020	0,074
0,550	-0,022	0,073
0,600	-0,024	0,072
0,650	-0,026	0,071
0,700	-0,028	0,069
0,750	-0,030	0,068
0,800	-0,031	0,067
0,850	-0,032	0,066
0,900	-0,033	0,065
0,950	-0,034	0,064
1,000	-0,034	0,064
1,050	-0,035	0,063
1,100	-0,036	0,063
1,150	-0,037	0,062
1,200	-0,038	0,061
1,250	-0,038	0,061
1,300	-0,039	0,060
1,350	-0,040	0,059
1,400	-0,041	0,059
1,450	-0,042	0,058
1,500	-0,044	0,057
1,550	-0,046	0,055
1,600	-0,047	0,054
1,650	-0,047	0,053
1,700	-0,048	0,052
1,750	-0,049	0,051
1,800	-0,050	0,050
1,850	-0,050	0,050
1,900	-0,050	0,050
1,950	-0,051	0,049
2,000	-0,051	0,049
2,050	-0,051	0,049
2,100	-0,051	0,048
2,150	-0,052	0,048
2,200	-0,052	0,048
2,250	-0,053	0,047
2,300	-0,054	0,047
2,350	-0,057	0,045
2,400	-0,058	0,043
2,450	-0,059	0,042
2,500	-0,060	0,041
2,550	-0,061	0,040
2,600	-0,063	0,038
2,650	-0,066	0,036
2,700	-0,068	0,034
2,750	-0,069	0,033
2,800	-0,071	0,031
2,850	-0,072	0,030
2,900	-0,073	0,028
2,950	-0,074	0,027
3,000	-0,074	0,026
3,050	-0,075	0,026
3,100	-0,076	0,025
3,150	-0,078	0,024
3,200	-0,081	0,021
3,250	-0,084	0,019
3,300	-0,087	0,016
3,350	-0,090	0,014
3,400	-0,094	0,010
3,450	-0,097	0,008
3,500	-0,101	0,004
3,550	-0,103	0,002
3,600	-0,106	-9,679E-4
3,650	-0,108	-0,003
3,700	-0,110	-0,005
3,750	-0,112	-0,006
3,800	-0,114	-0,008
3,850	-0,116	-0,010
3,900	-0,118	-0,012
3,950	-0,119	-0,013
4,000	-0,121	-0,014
4,050	-0,122	-0,015
4,100	-0,124	-0,016
4,150	-0,127	-0,018
4,200	-0,130	-0,021
4,250	-0,133	-0,023
4,300	-0,137	-0,025
4,350	-0,140	-0,027
4,400	-0,143	-0,029
4,450	-0,145	-0,031
4,500	-0,148	-0,033
4,550	-0,152	-0,035
4,600	-0,154	-0,037
4,650	-0,156	-0,038
4,700	-0,158	-0,039
4,750	-0,159	-0,040
4,800	-0,160	-0,041
4,850	-0,161	-0,041
4,900	-0,161	-0,041
4,950	-0,162	-0,042
5,000	-0,162	-0,042
5,050	-0,162	-0,042
5,100	-0,163	-0,043
5,150	-0,165	-0,043
5,200	-0,169	-0,045
5,250	-0,173	-0,046
5,300	-0,176	-0,048
5,350	-0,179	-0,050
5,400	-0,181	-0,051
5,450	-0,184	-0,052
5,500	-0,188	-0,054
5,550	-0,192	-0,055
5,600	-0,193	-0,056
5,650	-0,195	-0,057
5,700	-0,197	-0,058
5,750	-0,197	-0,058
5,800	-0,197	-0,058
5,850	-0,198	-0,058
5,900	-0,200	-0,059
5,950	-0,204	-0,060
6,000	-0,209	-0,062
6,050	-0,213	-0,063
6,100	-0,218	-0,065
6,150	-0,222	-0,066
6,200	-0,227	-0,068
6,250	-0,231	-0,069
6,300	-0,235	-0,071
6,350	-0,239	-0,071
6,400	-0,244	-0,073
6,450	-0,247	-0,074
6,500	-0,249	-0,075
6,550	-0,251	-0,075
6,600	-0,252	-0,076
6,650	-0,252	-0,075
6,700	-0,253	-0,076
6,750	-0,253	-0,076
6,800	-0,255	-0,077
6,850	-0,258	-0,077
6,900	-0,261	-0,078
6,950	-0,262	-0,078
7,000	-0,263	-0,079
7,050	-0,266	-0,079
7,100	-0,270	-0,080
7,150	-0,274	-0,081
7,200	-0,278	-0,082
7,250	-0,280	-0,082
7,300	-0,282	-0,083
7,350	-0,282	-0,083
7,400	-0,283	-0,083
7,450	-0,283	-0,083
7,500	-0,283	-0,084
7,550	-0,283	-0,083
7,600	-0,283	-0,084
7,650	-0,286	-0,083
7,700	-0,292	-0,085
7,750	-0,297	-0,086
7,800	-0,300	-0,087
7,850	-0,301	-0,087
7,900	-0,302	-0,088
7,950	-0,302	-0,087
8,000	-0,302	-0,087
8,050	-0,303	-0,087
8,100	-0,303	-0,088
8,150	-0,303	-0,087
8,200	-0,303	-0,088
8,250	-0,303	-0,087
8,300	-0,303	-0,088
8,350	-0,305	-0,088
8,400	-0,310	-0,089
8,450	-0,316	-0,090
8,500	-0,319	-0,091
8,550	-0,322	-0,091
8,600	-0,324	-0,092
8,650	-0,327	-0,091
8,700	-0,330	-0,093
8,750	-0,331	-0,093
8,800	-0,332	-0,093
8,850	-0,333	-0,093
8,900	-0,334	-0,093
8,950	-0,338	-0,094
9,000	-0,344	-0,095
9,050	-0,349	-0,095
9,100	-0,353	-0,097
9,150	-0,357	-0,097
9,200	-0,359	-0,097
9,250	-0,360	-0,097
9,300	-0,361	-0,098
9,350	-0,362	-0,098
9,400	-0,362	-0,098
9,450	-0,362	-0,097
9,500	-0,363	-0,099
9,550	-0,365	-0,098
9,600	-0,369	-0,099
9,650	-0,372	-0,099
9,700	-0,374	-0,100
9,750	-0,375	-0,100
9,800	-0,375	-0,100
9,850	-0,375	-0,099
9,900	-0,375	-0,100
9,950	-0,376	-0,100
10,000	-0,376	-0,100
10,050	-0,376	-0,100
10,100	-0,376	-0,100
10,150	-0,377	-0,100
10,200	-0,379	-0,101
10,250	-0,382	-0,100
10,300	-0,386	-0,102
10,350	-0,391	-0,101
10,400	-0,394	-0,103
10,450	-0,396	-0,102
10,500	-0,396	-0,103
10,550	-0,396	-0,102
10,600	-0,396	-0,103
10,650	-0,396	-0,102
10,700	-0,397	-0,103
10,750	-0,397	-0,102
10,800	-0,397	-0,104
10,850	-0,401	-0,103
10,900	-0,411	-0,105
10,950	-0,421	-0,105
11,000	-0,428	-0,107
11,050	-0,433	-0,107
11,100	-0,436	-0,108
11,150	-0,437	-0,107
11,200	-0,438	-0,108
11,250	-0,438	-0,108
11,300	-0,438	-0,109
11,350	-0,438	-0,108
11,400	-0,439	-0,109
11,450	-0,438	-0,108
11,500	-0,439	-0,109
11,550	-0,444	-0,109
11,600	-0,449	-0,109
11,650	-0,454	-0,110
11,700	-0,456	-0,110
11,750	-0,459	-0,110
11,800	-0,462	-0,111
11,850	-0,465	-0,110
11,900	-0,467	-0,112
11,950	-0,469	-0,111
12,000	-0,471	-0,112
12,050	-0,473	-0,112
12,100	-0,474	-0,112
12,150	-0,474	-0,112
12,200	-0,474	-0,113
12,250	-0,474	-0,112
12,300	-0,474	-0,113
12,350	-0,477	-0,112
12,400	-0,481	-0,113
12,450	-0,483	-0,113
12,500	-0,483	-0,114
12,550	-0,484	-0,113
12,600	-0,485	-0,114
12,650	-0,487	-0,113
12,700	-0,489	-0,114
12,750	-0,490	-0,114
12,800	-0,492	-0,114
12,850	-0,492	-0,113
12,900	-0,493	-0,115
12,950	-0,493	-0,114
13,000	-0,493	-0,115
13,050	-0,493	-0,114
13,100	-0,493	-0,115
13,150	-0,493	-0,114
13,200	-0,493	-0,115
13,250	-0,493	-0,114
13,300	-0,495	-0,115
13,350	-0,498	-0,114
13,400	-0,501	-0,116
13,450	-0,501	-0,114
13,500	-0,502	-0,115
13,550	-0,505	-0,115
13,600	-0,507	-0,116
13,650	-0,508	-0,115
13,700	-0,508	-0,116
13,750	-0,509	-0,115
13,800	-0,513	-0,116
13,850	-0,514	-0,116
13,900	-0,515	-0,117
13,950	-0,519	-0,116
14,000	-0,521	-0,118
14,050	-0,524	-0,117
14,100	-0,529	-0,118
14,150	-0,531	-0,117
14,200	-0,532	-0,118
14,250	-0,532	-0,117
14,300	-0,532	-0,119
14,350	-0,532	-0,118
14,400	-0,532	-0,118
14,450	-0,532	-0,118
14,500	-0,532	-0,119
14,550	-0,532	-0,117
14,600	-0,532	-0,119
14,650	-0,533	-0,118
14,700	-0,540	-0,119
14,750	-0,545	-0,119
14,800	-0,549	-0,120
14,850	-0,552	-0,120
14,900	-0,554	-0,120
14,950	-0,558	-0,120
15,000	-0,561	-0,121
15,050	-0,564	-0,121
15,100	-0,566	-0,121
15,150	-0,567	-0,121
15,200	-0,567	-0,122
15,250	-0,567	-0,121
15,300	-0,567	-0,121
15,350	-0,567	-0,121
15,400	-0,567	-0,121
15,450	-0,570	-0,121
15,500	-0,575	-0,123
15,550	-0,580	-0,122
15,600	-0,584	-0,123
15,650	-0,587	-0,123
15,700	-0,588	-0,123
15,750	-0,588	-0,123
15,800	-0,588	-0,124
15,850	-0,588	-0,123
15,900	-0,588	-0,123
15,950	-0,588	-0,123
16,000	-0,590	-0,124
16,050	-0,593	-0,123
16,100	-0,595	-0,124
16,150	-0,596	-0,123
16,200	-0,598	-0,124
16,250	-0,599	-0,124
16,300	-0,599	-0,124
16,350	-0,601	-0,124
16,400	-0,601	-0,125
16,450	-0,602	-0,124
16,500	-0,602	-0,125
16,550	-0,602	-0,124
16,600	-0,601	-0,124
16,650	-0,601	-0,124
16,700	-0,602	-0,125
16,750	-0,605	-0,124
16,800	-0,608	-0,125
16,850	-0,609	-0,124
16,900	-0,610	-0,125
16,950	-0,614	-0,125
17,000	-0,616	-0,126
17,050	-0,616	-0,125
17,100	-0,616	-0,126
17,150	-0,616	-0,125
17,200	-0,616	-0,126
17,250	-0,616	-0,125
17,300	-0,616	-0,126
17,350	-0,616	-0,125
17,400	-0,616	-0,126
17,450	-0,616	-0,125
17,500	-0,615	-0,126
17,550	-0,616	-0,125
17,600	-0,616	-0,126
17,650	-0,619	-0,125
17,700	-0,623	-0,126
17,750	-0,625	-0,126
17,800	-0,625	-0,126
17,850	-0,628	-0,126
17,900	-0,632	-0,127
17,950	-0,636	-0,127
18,000	-0,637	-0,127
18,050	-0,638	-0,127
18,100	-0,643	-0,128
18,150	-0,648	-0,128
18,200	-0,652	-0,128
18,250	-0,654	-0,128
18,300	-0,655	-0,129
18,350	-0,655	-0,128
18,400	-0,655	-0,129
18,450	-0,655	-0,128
18,500	-0,655	-0,129
18,550	-0,655	-0,128
18,600	-0,659	-0,129
18,650	-0,666	-0,129
18,700	-0,672	-0,130
18,750	-0,677	-0,130
18,800	-0,682	-0,131
18,850	-0,685	-0,131
18,900	-0,688	-0,131
18,950	-0,692	-0,131
19,000	-0,695	-0,132
19,050	-0,696	-0,132
19,100	-0,697	-0,133
19,150	-0,697	-0,132
19,200	-0,697	-0,132
19,250	-0,698	-0,132
19,300	-0,698	-0,132
19,350	-0,699	-0,132
19,400	-0,705	-0,133
19,450	-0,710	-0,132
19,500	-0,714	-0,133
19,550	-0,716	-0,133
19,600	-0,719	-0,133
19,650	-0,725	-0,134
19,700	-0,726	-0,134
19,750	-0,731	-0,134
19,800	-0,738	-0,135
19,850	-0,744	-0,135
19,900	-0,747	-0,136
19,950	-0,748	-0,135
20,000	-0,749	-0,136
20,050	-0,751	-0,135
20,100	-0,751	-0,136
20,150	-0,751	-0,135
20,200	-0,752	-0,136
20,250	-0,752	-0,135
20,300	-0,758	-0,136
20,350	-0,764	-0,136
20,400	-0,771	-0,137
20,450	-0,778	-0,137
20,500	-0,782	-0,138
20,550	-0,787	-0,138
20,600	-0,792	-0,138
20,650	-0,794	-0,138
20,700	-0,794	-0,139
20,750	-0,794	-0,138
20,800	-0,793	-0,138
20,850	-0,794	-0,138
20,900	-0,793	-0,138
20,950	-0,794	-0,138
21,000	-0,797	-0,138
21,050	-0,801	-0,138
21,100	-0,806	-0,139
21,150	-0,809	-0,139
21,200	-0,812	-0,140
21,250	-0,813	-0,139
21,300	-0,815	-0,140
21,350	-0,817	-0,140
21,400	-0,817	-0,140
21,450	-0,820	-0,140
21,500	-0,825	-0,140
21,550	-0,827	-0,140
21,600	-0,830	-0,141
21,650	-0,830	-0,140
21,700	-0,830	-0,141
21,750	-0,830	-0,140
21,800	-0,830	-0,141
21,850	-0,830	-0,140
21,900	-0,830	-0,141
21,950	-0,830	-0,140
22,000	-0,831	-0,141
22,050	-0,834	-0,140
22,100	-0,839	-0,141
22,150	-0,841	-0,141
22,200	-0,843	-0,141
22,250	-0,847	-0,141
22,300	-0,849	-0,142
22,350	-0,850	-0,142
22,400	-0,851	-0,142
22,450	-0,853	-0,142
22,500	-0,857	-0,142
22,550	-0,859	-0,142
22,600	-0,861	-0,142
22,650	-0,865	-0,142
22,700	-0,870	-0,143
22,750	-0,875	-0,143
22,800	-0,876	-0,143
22,850	-0,876	-0,143
22,900	-0,876	-0,143
22,950	-0,877	-0,143
23,000	-0,877	-0,143
23,050	-0,877	-0,143
23,100	-0,877	-0,143
23,150	-0,878	-0,143
23,200	-0,884	-0,144
23,250	-0,891	-0,144
23,300	-0,898	-0,145
23,350	-0,903	-0,145
23,400	-0,906	-0,145
23,450	-0,909	-0,145
23,500	-0,913	-0,145
23,550	-0,917	-0,145
23,600	-0,920	-0,146
23,650	-0,921	-0,146
23,700	-0,921	-0,146
23,750	-0,922	-0,146
23,800	-0,922	-0,146
23,850	-0,922	-0,146
23,900	-0,922	-0,146
23,950	-0,922	-0,146
24,000	-0,924	-0,146
24,050	-0,928	-0,146
24,100	-0,933	-0,147
24,150	-0,937	-0,147
24,200	-0,941	-0,147
24,250	-0,943	-0,147
24,300	-0,945	-0,147
24,350	-0,947	-0,147
24,400	-0,949	-0,147
24,450	-0,951	-0,147
24,500	-0,952	-0,147
24,550	-0,952	-0,147
24,600	-0,952	-0,147
24,650	-0,952	-0,147
24,700	-0,952	-0,147
24,750	-0,952	-0,147
24,800	-0,952	-0,147
24,850	-0,953	-0,147
24,900	-0,953	-0,147
24,950	-0,953	-0,147
25,000	-0,955	-0,147
25,050	-0,959	-0,148
25,100	-0,966	-0,148
25,150	-0,970	-0,148
25,200	-0,970	-0,148
25,250	-0,971	-0,148
25,300	-0,977	-0,149
25,350	-0,984	-0,149
25,400	-0,987	-0,149
25,450	-0,988	-0,150
25,500	-0,988	-0,149
25,550	-0,988	-0,149
25,600	-0,988	-0,150
25,650	-0,988	-0,149
25,700	-0,988	-0,149
25,750	-0,988	-0,149
25,800	-0,989	-0,149
25,850	-0,989	-0,149
25,900	-0,989	-0,149
25,950	-0,988	-0,149
26,000	-0,990	-0,149
26,050	-0,997	-0,150
26,100	-1,001	-0,150
26,150	-1,001	-0,150
26,200	-1,001	-0,150
26,250	-1,001	-0,150
26,300	-1,001	-0,150
26,350	-1,001	-0,150
26,400	-1,001	-0,150
26,450	-1,001	-0,150
26,500	-1,001	-0,150
26,550	-1,001	-0,150
26,600	-1,001	-0,150
26,650	-1,001	-0,150
26,700	-1,001	-0,150
26,750	-1,001	-0,150
26,800	-1,001	-0,150
26,850	-1,001	-0,150
26,900	-1,001	-0,150
26,950	-1,001	-0,150
27,000	-1,001	-0,150
27,050	-1,001	-0,150
27,100	-1,001	-0,150
27,150	-1,001	-0,150
27,200	-1,001	-0,150
27,250	-1,001	-0,150
27,300	-1,001	-0,150
27,350	-1,001	-0,150
27,400	-1,001	-0,150
27,450	-1,001	-0,150
27,500	-1,001	-0,150
27,550	-1,000	-0,150
27,600	-1,001	-0,150
27,650	-1,001	-0,150
27,700	-1,001	-0,150
27,750	-1,001	-0,150
27,800	-1,001	-0,150
27,850	-1,001	-0,150
27,900	-1,001	-0,150
27,950	-1,001	-0,150
28,000	-1,001	-0,150
28,050	-1,001	-0,150
28,100	-1,001	-0,150
28,150	-1,001	-0,150
28,200	-1,001	-0,150
28,250	-1,001	-0,150
28,300	-1,001	-0,150
28,350	-1,001	-0,150
28,400	-1,001	-0,150
28,450	-1,001	-0,150
28,500	-1,001	-0,150
28,550	-1,001	-0,150
28,600	-1,001	-0,150
28,650	-1,001	-0,150
28,700	-1,001	-0,150
28,750	-1,001	-0,150
28,800	-1,001	-0,150
28,850	-1,001	-0,150
28,900	-1,001	-0,150
28,950	-1,000	-0,150
29,000	-1,001	-0,150
29,050	-1,001	-0,150
29,100	-1,001	-0,150
29,150	-1,001	-0,150
29,200	-1,001	-0,150
29,250	-1,001	-0,150
29,300	-1,001	-0,150
29,350	-1,001	-0,150
29,400	-1,001	-0,150
29,450	-1,000	-0,150
29,500	-1,001	-0,150
29,550	-1,001	-0,150
