Zeit (s) Messreihe #1	Spannung, Ch A (V) Messreihe #1	Spannung, Ch B (V) Messreihe #1
0,000	6,760	-0,002
0,050	6,759	-8,096E-4
0,100	6,760	-0,002
0,150	6,759	-5,593E-4
0,200	6,760	-0,002
0,250	6,760	-5,410E-4
0,300	6,760	-0,002
0,350	6,760	-5,837E-4
0,400	6,760	-0,002
0,450	6,760	-4,995E-4
0,500	6,761	-0,002
0,550	6,760	-5,740E-4
0,600	6,760	-0,002
0,650	6,760	-6,558E-4
0,700	6,761	-0,002
0,750	6,760	-8,694E-4
0,800	6,761	-0,002
0,850	6,761	-7,156E-4
0,900	6,761	-0,002
0,950	6,761	-6,362E-4
1,000	6,761	-0,002
1,050	6,761	-5,715E-4
1,100	6,761	-0,002
1,150	6,761	-6,704E-4
1,200	6,761	-0,002
1,250	6,758	-5,630E-4
1,300	6,725	-0,002
1,350	6,710	-6,521E-4
1,400	6,709	-0,002
1,450	6,706	-6,472E-4
1,500	6,688	-0,002
1,550	6,674	-6,924E-4
1,600	6,667	-0,002
1,650	6,664	-5,276E-4
1,700	6,663	-0,002
1,750	6,652	-9,023E-4
1,800	6,641	-0,002
1,850	6,629	-6,594E-4
1,900	6,624	-0,002
1,950	6,618	-4,312E-4
2,000	6,607	-0,002
2,050	6,600	-6,497E-4
2,100	6,580	-0,002
2,150	6,566	-6,716E-4
2,200	6,561	-0,002
2,250	6,559	-4,897E-4
2,300	6,550	-0,002
2,350	6,532	-8,083E-4
2,400	6,517	-0,002
2,450	6,516	-6,533E-4
2,500	6,513	-0,002
2,550	6,497	-5,996E-4
2,600	6,488	-0,002
2,650	6,471	-3,311E-4
2,700	6,442	-0,002
2,750	6,421	-6,252E-4
2,800	6,396	-0,002
2,850	6,373	-6,802E-4
2,900	6,350	-0,002
2,950	6,323	-8,047E-4
3,000	6,305	-0,002
3,050	6,301	-5,398E-4
3,100	6,301	-0,002
3,150	6,293	-7,168E-4
3,200	6,274	-0,002
3,250	6,272	-8,181E-4
3,300	6,272	-0,002
3,350	6,272	-4,202E-4
3,400	6,267	-0,002
3,450	6,260	-5,862E-4
3,500	6,260	-0,002
3,550	6,260	-4,910E-4
3,600	6,260	-0,002
3,650	6,260	-4,971E-4
3,700	6,260	-0,002
3,750	6,253	-3,750E-4
3,800	6,251	-0,002
3,850	6,252	-4,092E-4
3,900	6,252	-0,002
3,950	6,247	-4,202E-4
4,000	6,239	-0,002
4,050	6,232	-1,296E-4
4,100	6,231	-0,002
4,150	6,232	-3,774E-4
4,200	6,231	-0,002
4,250	6,226	-5,667E-4
4,300	6,219	-0,002
4,350	6,215	-4,995E-4
4,400	6,213	-0,002
4,450	6,200	-2,822E-4
4,500	6,186	-0,002
4,550	6,182	-7,009E-4
4,600	6,181	-0,002
4,650	6,181	-3,762E-4
4,700	6,173	-0,002
4,750	6,164	-1,589E-4
4,800	6,153	-0,002
4,850	6,150	-6,277E-4
4,900	6,145	-0,002
4,950	6,135	-5,520E-4
5,000	6,122	-0,002
5,050	6,114	-5,776E-4
5,100	6,108	-0,002
5,150	6,106	-7,717E-4
5,200	6,095	-0,001
5,250	6,088	-5,264E-4
5,300	6,083	-0,002
5,350	6,079	-4,641E-4
5,400	6,072	-0,002
5,450	6,065	-3,652E-4
5,500	6,062	-0,002
5,550	6,062	-2,761E-4
5,600	6,057	-0,002
5,650	6,049	-5,483E-4
5,700	6,038	-0,002
5,750	6,026	-6,033E-4
5,800	6,021	-0,002
5,850	6,019	-4,604E-4
5,900	6,016	-0,002
5,950	6,007	-4,922E-4
6,000	5,998	-0,002
6,050	5,997	-2,126E-4
6,100	5,996	-0,001
6,150	5,990	-6,912E-4
6,200	5,988	-0,002
6,250	5,986	-4,946E-4
6,300	5,982	-0,001
6,350	5,979	-6,948E-4
6,400	5,974	-0,002
6,450	5,967	-4,568E-4
6,500	5,959	-0,002
6,550	5,959	-3,591E-4
6,600	5,952	-0,002
6,650	5,943	-5,654E-4
6,700	5,935	-0,002
6,750	5,932	-4,849E-4
6,800	5,928	-0,002
6,850	5,925	-5,190E-4
6,900	5,916	-0,002
6,950	5,901	-5,728E-4
7,000	5,890	-0,002
7,050	5,889	-9,180E-5
7,100	5,888	-0,002
7,150	5,883	-5,764E-4
7,200	5,874	-0,002
7,250	5,866	-3,542E-4
7,300	5,863	-0,002
7,350	5,858	-4,348E-4
7,400	5,852	-0,002
7,450	5,848	-8,694E-4
7,500	5,847	-0,002
7,550	5,845	-4,067E-4
7,600	5,844	-0,002
7,650	5,843	-5,923E-4
7,700	5,837	-0,002
7,750	5,829	-4,324E-4
7,800	5,825	-0,001
7,850	5,823	-5,972E-4
7,900	5,823	-0,002
7,950	5,822	-4,360E-4
8,000	5,819	-0,002
8,050	5,815	-4,775E-4
8,100	5,806	-0,002
8,150	5,803	-2,493E-4
8,200	5,799	-0,002
8,250	5,795	-4,702E-4
8,300	5,791	-0,002
8,350	5,785	-4,507E-4
8,400	5,777	-0,002
8,450	5,773	-2,798E-4
8,500	5,769	-0,002
8,550	5,765	-4,641E-4
8,600	5,763	-0,002
8,650	5,754	-5,605E-4
8,700	5,744	-0,002
8,750	5,740	-5,691E-4
8,800	5,734	-0,002
8,850	5,730	-3,604E-4
8,900	5,721	-0,002
8,950	5,708	-5,093E-4
9,000	5,690	-0,002
9,050	5,673	-4,580E-4
9,100	5,665	-0,002
9,150	5,666	-3,811E-4
9,200	5,666	-0,002
9,250	5,666	-3,689E-4
9,300	5,666	-0,002
9,350	5,666	-3,896E-4
9,400	5,666	-0,002
9,450	5,666	-5,874E-4
9,500	5,666	-0,001
9,550	5,652	-1,882E-4
9,600	5,631	-0,002
9,650	5,614	-5,923E-4
9,700	5,596	-0,002
9,750	5,579	-3,518E-4
9,800	5,566	-0,001
9,850	5,554	-2,615E-4
9,900	5,546	-0,001
9,950	5,544	-2,859E-4
10,000	5,535	-0,001
10,050	5,523	-1,821E-4
10,100	5,507	-0,001
10,150	5,496	-6,045E-4
10,200	5,484	-0,001
10,250	5,476	-2,273E-4
10,300	5,469	-0,001
10,350	5,463	-3,445E-4
10,400	5,454	-0,002
10,450	5,435	-2,004E-4
10,500	5,421	-0,002
10,550	5,407	-4,849E-4
10,600	5,393	-0,001
10,650	5,370	-2,151E-4
10,700	5,344	-0,001
10,750	5,319	-6,570E-4
10,800	5,296	-0,002
10,850	5,269	-2,517E-4
10,900	5,239	-0,002
10,950	5,221	-4,080E-4
11,000	5,203	-0,001
11,050	5,193	-2,163E-4
11,100	5,175	-0,001
11,150	5,154	-2,566E-4
11,200	5,138	-0,002
11,250	5,131	-2,542E-4
11,300	5,128	-0,001
11,350	5,129	-1,809E-4
11,400	5,128	-0,002
11,450	5,129	-2,432E-4
11,500	5,128	-0,002
11,550	5,129	-3,359E-4
11,600	5,128	-0,002
11,650	5,129	-3,762E-4
11,700	5,128	-0,001
11,750	5,129	-1,992E-4
11,800	5,128	-0,002
11,850	5,129	-4,714E-4
11,900	5,125	-0,001
11,950	5,094	-4,421E-4
12,000	5,080	-0,001
12,050	5,069	-5,032E-4
12,100	5,058	-0,001
12,150	5,059	-2,712E-4
12,200	5,058	-0,002
12,250	5,058	-4,153E-4
12,300	5,053	-0,001
12,350	5,033	-4,495E-4
12,400	5,024	-0,001
12,450	5,015	-5,483E-4
12,500	5,005	-0,001
12,550	5,001	-3,689E-4
12,600	4,987	-0,002
12,650	4,975	-2,725E-4
12,700	4,963	-0,001
12,750	4,945	-1,638E-4
12,800	4,927	-0,002
12,850	4,914	6,567E-5
12,900	4,893	-0,001
12,950	4,875	-4,348E-4
13,000	4,860	-0,001
13,050	4,839	-3,076E-5
13,100	4,821	-0,001
13,150	4,807	-9,302E-5
13,200	4,793	-0,001
13,250	4,779	-1,101E-4
13,300	4,759	-0,001
13,350	4,753	2,197E-6
13,400	4,747	-0,001
13,450	4,734	-6,494E-5
13,500	4,723	-0,001
13,550	4,715	-2,664E-4
13,600	4,707	-0,001
13,650	4,698	-1,125E-4
13,700	4,687	-8,303E-4
13,750	4,675	-1,431E-4
13,800	4,663	-0,001
13,850	4,651	-1,956E-4
13,900	4,639	-0,001
13,950	4,629	-1,211E-4
14,000	4,622	-0,001
14,050	4,617	-7,227E-5
14,100	4,607	-0,001
14,150	4,597	-2,773E-4
14,200	4,584	-0,001
14,250	4,575	1,316E-4
14,300	4,558	-0,001
14,350	4,542	-3,091E-4
14,400	4,524	-9,756E-4
14,450	4,508	-1,978E-5
14,500	4,487	-9,060E-4
14,550	4,468	-2,603E-4
14,600	4,440	-0,001
14,650	4,412	2,036E-4
14,700	4,401	-9,255E-4
14,750	4,393	-6,372E-5
14,800	4,373	-8,071E-4
14,850	4,362	-1,626E-4
14,900	4,347	-7,510E-4
14,950	4,328	4,905E-4
15,000	4,309	-0,001
15,050	4,282	9,375E-5
15,100	4,256	-0,001
15,150	4,237	4,465E-4
15,200	4,215	-7,461E-4
15,250	4,194	1,011E-4
15,300	4,170	-9,695E-4
15,350	4,138	-4,785E-5
15,400	4,105	-9,963E-4
15,450	4,076	1,279E-4
15,500	4,060	-9,036E-4
15,550	4,044	2,085E-4
15,600	4,018	-0,001
15,650	3,998	2,295E-5
15,700	3,985	-0,001
15,750	3,966	1,292E-4
15,800	3,949	-7,717E-4
15,850	3,947	2,769E-4
15,900	3,947	-6,094E-4
15,950	3,947	3,782E-4
16,000	3,947	-9,878E-4
16,050	3,947	-4,297E-5
16,100	3,947	-6,143E-4
16,150	3,951	4,126E-5
16,200	3,954	-8,914E-4
16,250	3,951	-3,687E-5
16,300	3,951	-8,804E-4
16,350	3,931	2,244E-4
16,400	3,890	-8,376E-4
16,450	3,838	3,599E-4
16,500	3,784	-7,131E-4
16,550	3,743	-1,370E-4
16,600	3,695	-0,001
16,650	3,644	9,253E-5
16,700	3,610	-8,706E-4
16,750	3,559	2,488E-4
16,800	3,506	-7,620E-4
16,850	3,479	4,270E-4
16,900	3,468	-5,837E-4
16,950	3,452	3,452E-4
17,000	3,437	-7,375E-4
17,050	3,420	4,050E-4
17,100	3,406	-7,437E-4
17,150	3,401	2,732E-4
17,200	3,380	-5,190E-4
17,250	3,366	5,918E-4
17,300	3,351	-5,215E-4
17,350	3,334	5,979E-4
17,400	3,316	-4,775E-4
17,450	3,301	6,138E-4
17,500	3,262	-4,458E-4
17,550	3,207	5,088E-4
17,600	3,169	-3,005E-4
17,650	3,152	5,649E-4
17,700	3,142	-5,093E-4
17,750	3,136	5,771E-4
17,800	3,128	-1,687E-4
17,850	3,107	6,565E-4
17,900	3,078	-3,433E-4
17,950	3,061	5,393E-4
18,000	3,049	-2,444E-4
18,050	3,034	7,187E-4
18,100	3,008	-4,812E-4
18,150	2,977	5,295E-4
18,200	2,956	-2,590E-4
18,250	2,940	7,139E-4
18,300	2,911	-1,016E-4
18,350	2,894	6,821E-4
18,400	2,878	-1,687E-4
18,450	2,864	7,834E-4
18,500	2,845	-3,494E-4
18,550	2,828	7,505E-4
18,600	2,821	-5,923E-4
18,650	2,820	5,576E-4
18,700	2,820	-1,174E-4
18,750	2,820	5,601E-4
18,800	2,819	-2,957E-4
18,850	2,820	8,298E-4
18,900	2,821	-4,175E-5
18,950	2,823	7,688E-4
19,000	2,822	-1,504E-4
19,050	2,823	7,737E-4
19,100	2,822	-3,396E-4
19,150	2,783	7,932E-4
19,200	2,723	-1,565E-4
19,250	2,683	6,467E-4
19,300	2,662	-1,001E-5
19,350	2,639	8,726E-4
19,400	2,615	-4,297E-5
19,450	2,599	8,604E-4
19,500	2,574	-3,198E-5
19,550	2,550	8,872E-4
19,600	2,516	-2,222E-5
19,650	2,489	8,457E-4
19,700	2,461	1,060E-4
19,750	2,424	9,348E-4
19,800	2,397	1,768E-4
19,850	2,371	0,001
19,900	2,344	1,023E-4
19,950	2,315	9,006E-4
20,000	2,290	3,367E-4
20,050	2,277	8,115E-4
20,100	2,262	1,121E-4
20,150	2,244	0,001
20,200	2,223	1,865E-4
20,250	2,203	9,604E-4
20,300	2,185	1,230E-4
20,350	2,168	0,001
20,400	2,140	3,977E-4
20,450	2,117	0,002
20,500	2,096	3,660E-4
20,550	2,081	0,001
20,600	2,063	2,915E-4
20,650	2,054	0,001
20,700	2,051	2,988E-4
20,750	2,039	0,001
20,800	2,030	4,929E-4
20,850	2,010	0,001
20,900	1,981	4,624E-4
20,950	1,965	8,262E-4
21,000	1,943	1,548E-4
21,050	1,918	9,836E-4
21,100	1,912	-1,125E-4
21,150	1,911	0,001
21,200	1,894	6,882E-4
21,250	1,892	0,001
21,300	1,891	4,661E-4
21,350	1,892	0,001
21,400	1,891	2,231E-4
21,450	1,892	0,001
21,500	1,891	3,586E-4
21,550	1,892	0,001
21,600	1,891	5,674E-4
21,650	1,892	0,001
21,700	1,891	4,514E-4
21,750	1,891	0,001
21,800	1,841	5,967E-4
21,850	1,794	0,001
21,900	1,772	5,076E-4
21,950	1,736	0,001
22,000	1,694	4,502E-4
22,050	1,660	0,001
22,100	1,627	5,686E-4
22,150	1,603	0,002
22,200	1,579	6,882E-4
22,250	1,562	0,001
22,300	1,534	0,001
22,350	1,504	0,002
22,400	1,487	7,371E-4
22,450	1,460	0,002
22,500	1,424	0,001
22,550	1,401	0,001
22,600	1,378	0,001
22,650	1,358	0,002
22,700	1,341	0,001
22,750	1,312	0,002
22,800	1,258	6,895E-4
22,850	1,223	0,002
22,900	1,185	9,763E-4
22,950	1,139	0,002
23,000	1,070	0,001
23,050	1,053	0,002
23,100	1,051	0,001
23,150	1,025	0,002
23,200	0,998	0,001
23,250	0,976	0,002
23,300	0,953	0,001
23,350	0,939	0,002
23,400	0,924	0,001
23,450	0,902	0,002
23,500	0,857	0,001
23,550	0,829	0,002
23,600	0,817	0,002
23,650	0,817	0,002
23,700	0,816	0,001
23,750	0,817	0,002
23,800	0,816	0,001
